"Ripassare capitolo 3 di Analisi 1 prima dell'esame",studio
"Preparare la presentazione per il seminario di storia moderna",studio
"Finire gli esercizi di algebra lineare entro venerdì",studio
"Portare in biblioteca i libri di letteratura inglese",studio
"Rivedere gli appunti di chimica organica del professor Rossi",studio
"Consegnare la tesina di filosofia entro lunedì",studio
"Iscriversi all'appello di fisica del 15 settembre",studio
"Fare il riassunto del capitolo sulla Rivoluzione Francese",studio
"Chiedere agli amici gli appunti di economia aziendale",studio
"Stampare le slide della lezione di ingegneria del software",studio
"Ripassare le formule di trigonometria per il compito",studio
"Organizzare gruppo di studio per l'esame di statistica",studio
"Rileggere le fonti primarie per la tesi di laurea",studio
"Fare pratica con gli esercizi di programmazione in Python",studio
"Prenotare aula studio in biblioteca per sabato pomeriggio",studio
"Completare il laboratorio di chimica entro giovedì",studio
"Rivedere le slide di microeconomia prima della lezione",studio
"Scrivere l'introduzione della tesi entro la fine del mese",studio
"Studiare i verbi irregolari inglesi per il test",studio
"Prendere appunti dettagliati durante la lezione di diritto",studio
"Fare schema riassuntivo di anatomia per l'orale",studio
"Controllare il programma d'esame di analisi matematica",studio
"Ripetere ad alta voce il capitolo sui numeri complessi",studio
"Cercare articoli scientifici per la bibliografia della tesi",studio
"Finire le flashcard di vocabolario spagnolo",studio
"Recuperare la lezione persa di biologia molecolare",studio
"Fare simulazione d'esame di diritto costituzionale",studio
"Prendere in prestito il manuale di statistica in biblioteca",studio
"Rivedere gli esercizi di fisica sul moto circolare",studio
"Preparare le domande da fare al relatore della tesi",studio
"Studiare bene le date della Seconda Guerra Mondiale",studio
"Sistemare la bibliografia in ordine alfabetico",studio
"Ripassare il teorema di Pitagora e le sue applicazioni",studio
"Fare gli esercizi di sintassi latina assegnati",studio
"Controllare le scadenze per l'iscrizione agli appelli invernali",studio
"Finire di leggere il romanzo per l'esame di letteratura italiana",studio
"Rivedere gli appunti presi oggi a lezione di sociologia",studio
"Studiare per il test di ingresso di ingegneria",studio
"Ripassare la tavola periodica prima del compito di chimica",studio
"Aggiornare il piano di studi con la segreteria",studio
"Preparare slide per l'esposizione orale di antropologia",studio
"Ripassare le regole grammaticali del congiuntivo",studio
"Studiare il capitolo sulle reti neurali per l'esame di AI",studio
"Fare gli esercizi di algoritmi e strutture dati",studio
"Portare a termine la relazione di laboratorio di fisica",studio
"Chiedere chiarimenti al professore sul programma d'esame",studio
"Ripassare gli appunti di anatomia prima della prova pratica",studio
"Studiare le poesie di Leopardi per l'interrogazione",studio
"Scaricare le dispense del corso di economia politica",studio
"Fare un ripasso generale prima dell'esame di domani",studio
"Organizzare il materiale per la maturità",studio
"Studiare i teoremi di geometria analitica",studio
"Rivedere il codice del progetto per l'esame di informatica",studio
"Cercare in biblioteca i testi per la ricerca di storia dell'arte",studio
"Fare pratica di conversazione in tedesco prima dell'orale",studio
"Ripassare i verbi al passato remoto",studio
"Studiare per il test di ammissione a medicina",studio
"Finire di scrivere le conclusioni della tesi",studio
"Rileggere la mail del professore sulle modalità d'esame",studio
"Fare gli esercizi di probabilità e statistica",studio
"Ripassare bene il diritto amministrativo prima dell'orale",studio
"Preparare la scaletta per la discussione della tesi",studio
"Studiare le reazioni chimiche organiche per il laboratorio",studio
"Portare appunti aggiornati alla lezione di domani",studio
"Rivedere il piano cartesiano e le funzioni",studio
"Chiedere al relatore un incontro per discutere i capitoli",studio
"Studiare a memoria le formule di fisica quantistica",studio
"Fare esercizi extra di matematica finanziaria",studio
"Ripassare i concetti chiave di marketing prima dell'esame",studio
"Controllare orario delle lezioni della prossima settimana",studio
"Studiare il francese con le flashcard prima del test",studio
"Fare un riassunto del manuale di psicologia dello sviluppo",studio
"Ripassare la storia dell'arte rinascimentale",studio
"Prenotare appuntamento con il tutor per aiuto in analisi",studio
"Studiare i principi di termodinamica per l'esame",studio
"Rivedere le dispense di diritto privato prima della prova scritta",studio
"Finire l'esercitazione di statistica assegnata dal professore",studio
"Ripassare i capitoli di biologia cellulare per l'orale",studio
"Studiare per il quiz di anatomia della settimana prossima",studio
"Aggiornare gli appunti con le correzioni fatte in classe",studio
"Cercare video didattici per capire meglio la termodinamica",studio
"Fare pratica con esercizi di logica per il test d'ingresso",studio
"Studiare i principali autori della letteratura latina",studio
"Preparare cartelloni per l'esposizione di gruppo",studio
"Ripassare le formule di chimica inorganica",studio
"Studiare bene prima dell'appello di settembre",studio
"Riorganizzare gli appunti del semestre per il ripasso finale",studio
"Fare gli esercizi assegnati di calcolo differenziale",studio
"Studiare i casi clinici per l'esame di medicina interna",studio
"Rivedere il glossario di economia per l'esame orale",studio
"Preparare la relazione finale del tirocinio",studio
"Studiare le equazioni differenziali per l'esame di analisi 2",studio
"Fare un ripasso rapido prima dell'interrogazione di storia",studio
"Controllare se ci sono nuovi materiali caricati sulla piattaforma del corso",studio
"Studiare il sistema nervoso per l'esame di fisiologia",studio
"Preparare domande di ripasso da fare con i compagni di corso",studio
"Rivedere gli esempi svolti a lezione di algoritmi",studio
"Studiare il capitolo sulla globalizzazione per scienze politiche",studio
"Finire di leggere gli articoli assegnati per il seminario di venerdì",studio
