"Comprare il latte e le uova al supermercato",personale
"Chiamare mamma per gli auguri di compleanno",personale
"Portare Fido dal veterinario per il vaccino",personale
"Prenotare il controllo dal dentista",personale
"Ritirare i vestiti in lavanderia entro venerdì",personale
"Pagare la bolletta della luce prima della scadenza",personale
"Organizzare l'armadio della camera da letto",personale
"Leggere altri due capitoli del libro di Murakami",personale
"Prenotare un tavolo per cena con Luca e Sara sabato sera",personale
"Rinnovare la carta d'identità in comune",personale
"Fare la spesa settimanale, non dimenticare il caffè",personale
"Passare l'aspirapolvere in salotto e in cucina",personale
"Iscriversi al corso di yoga del lunedì sera",personale
"Chiamare l'idraulico per il rubinetto che perde",personale
"Innaffiare le piante del balcone",personale
"Prenotare le vacanze di agosto in Sardegna",personale
"Portare la macchina dal meccanico per il tagliando",personale
"Scrivere una lettera alla nonna",personale
"Pulire il forno che ormai è da un mese che rimando",personale
"Fare il bucato e stendere prima che piova",personale
"Rinnovare l'abbonamento in palestra",personale
"Ordinare le medicine in farmacia per papà",personale
"Sistemare la cantina, c'è troppa roba accumulata",personale
"Prenotare il volo per il matrimonio di settembre",personale
"Fare un salto dal parrucchiere per il taglio",personale
"Ricordarsi di dare da mangiare al gatto stasera",personale
"Cambiare le lenzuola del letto",personale
"Organizzare la festa di compleanno di Marco",personale
"Controllare le scadenze dell'assicurazione auto",personale
"Fare una passeggiata al parco domenica mattina",personale
"Comprare un regalo per l'anniversario di nozze",personale
"Pulire il frigo, ci sono cose scadute",personale
"Prenotare la visita oculistica di controllo",personale
"Portare i libri in biblioteca prima che scada il prestito",personale
"Rifare il letto e aprire le finestre appena sveglio",personale
"Contattare l'agenzia immobiliare per il rinnovo del contratto",personale
"Fare esercizi di stretching la mattina",personale
"Ritirare il pacco in posta entro sabato",personale
"Chiamare l'assicurazione per rinnovare la polizza casa",personale
"Riordinare la scrivania in camera",personale
"Andare a correre almeno tre volte questa settimana",personale
"Prenotare un massaggio per rilassarmi un po'",personale
"Fare il pieno di carburante prima del viaggio",personale
"Cucinare qualcosa di nuovo per cena stasera",personale
"Portare i pantaloni dal sarto per l'orlo",personale
"Aggiornare la lista della spesa sul frigo",personale
"Fissare un appuntamento dal fisioterapista per la schiena",personale
"Sbrigare le pratiche per il passaporto",personale
"Buttare la carta e il vetro nei bidoni giusti",personale
"Chiamare Giulia per organizzare l'uscita di sabato",personale
"Annaffiare l'orto e togliere le erbacce",personale
"Fare ordine negli armadietti del bagno",personale
"Prenotare il pediatra per il controllo del bambino",personale
"Cercare un nuovo hobby da provare nel weekend",personale
"Rispondere al messaggio di Anna che aspetta da giorni",personale
"Pagare l'affitto entro il 5 del mese",personale
"Portare le scarpe dal calzolaio",personale
"Fare un giro in bici la domenica",personale
"Organizzare le foto delle vacanze in un album",personale
"Cambiare l'olio motore della moto",personale
"Chiamare la banca per chiarire un addebito strano",personale
"Preparare la valigia per il weekend fuori porta",personale
"Portare i bambini a lezione di nuoto",personale
"Sistemare i cassetti della cucina",personale
"Ricordarsi di prendere la vitamina D ogni mattina",personale
"Prenotare un tavolo per il compleanno di zia Rita",personale
"Fare la dichiarazione dei redditi con il commercialista",personale
"Pulire i vetri delle finestre, sono da rifare",personale
"Organizzare una cena tra vecchi amici del liceo",personale
"Portare a spasso il cane prima di cena",personale
"Iscriversi alla piscina comunale per l'estate",personale
"Cercare ricette vegetariane facili per la settimana",personale
"Rinnovare la tessera della biblioteca",personale
"Chiamare l'elettricista per il lampadario del corridoio",personale
"Fare le pulizie di primavera in tutta la casa",personale
"Scrivere gli auguri di Natale per parenti e amici",personale
"Sistemare la bici, la ruota fa uno strano rumore",personale
"Prendere appuntamento dal dermatologo per un neo",personale
"Comprare le pile per il telecomando",personale
"Riordinare la libreria per autore",personale
"Fare due passi con papà la domenica pomeriggio",personale
"Iscrivere il cane al corso di addestramento",personale
"Ritirare gli occhiali nuovi dall'ottico",personale
"Sistemare il balcone in vista dell'estate",personale
"Chiamare il consorzio per il problema del riscaldamento",personale
"Andare a trovare la zia in ospedale",personale
"Preparare i documenti per il rinnovo della patente",personale
"Provare quella nuova pizzeria di cui parla tutta la città",personale
"Riparare la sedia scricchiolante in sala da pranzo",personale
"Organizzare gli scatoloni per il trasloco di ottobre",personale
"Fare la manicure prima dell'evento di sabato",personale
"Rispondere all'invito al matrimonio di Chiara",personale
"Prenotare il taglio di capelli dei bambini",personale
"Buttare via i vestiti che non uso più",personale
"Portare le batterie esauste all'isola ecologica",personale
"Guardare quel documentario che mi ha consigliato Marco",personale
"Sistemare la password del wifi di casa",personale
"Prenotare un weekend alle terme con Elena",personale
"Fare la spesa per la cena di compleanno di papà",personale
