description,category
Prenotare un weekend alle terme con Elena,personale
Il router è rotto e devo fare una call tra 15 minuti,urgente
Rivedere il curriculum dei candidati per il colloquio di domani,lavoro
Chiedere agli amici gli appunti di economia aziendale,studio
Rivedere le metriche di conversione prima della riunione con il capo,lavoro
Mandare l'invito calendario per la riunione con il cliente tedesco,lavoro
Portare urgentemente i documenti alla posta prima della chiusura,urgente
Devo scrivere l'annuncio di lavoro per la posizione di analista,lavoro
Ripetere ad alta voce il capitolo sui numeri complessi,studio
Ricordarsi di dare da mangiare al gatto stasera,personale
Organizzare la trasferta a Milano per la fiera di settembre,lavoro
Scade oggi il termine per iscrivere i figli a scuola,urgente
Rispondere alla mail del capo riguardo la riorganizzazione del reparto,lavoro
Fissare un incontro con il nuovo cliente per la settimana prossima,lavoro
"Pulire il frigo, ci sono cose scadute",personale
Fare il punto con Giulia sullo stato del progetto Nova,lavoro
"Chiamare il capo cantiere, c'è un problema serio in cantiere adesso",urgente
Rivedere le dispense di diritto privato prima della prova scritta,studio
Preparare le domande da fare al relatore della tesi,studio
"Chiamare subito il numero di emergenza, sento puzza di bruciato",urgente
Rispondere al fornitore riguardo lo sconto sulla fornitura annuale,lavoro
Ricontrollare i numeri del bilancio prima della riunione con i soci,lavoro
"Rispondere subito al preside, riunione urgente dei genitori",urgente
Ripassare la tavola periodica prima del compito di chimica,studio
Preparare il report trimestrale entro venerdì,lavoro
Rispondere all'ospedale per confermare l'intervento di domattina,urgente
Chiamare l'idraulico per il rubinetto che perde,personale
Controllare le scadenze per l'iscrizione agli appelli invernali,studio
Preparare la scaletta per la discussione della tesi,studio
Prenotare il controllo dal dentista,personale
Serve confermare oggi stesso la disdetta dell'abbonamento,urgente
"Il forno ha iniziato a fare fumo, spegnere tutto immediatamente",urgente
Finire di leggere gli articoli assegnati per il seminario di venerdì,studio
Preparare il pitch per i nuovi investitori entro giovedì,lavoro
Recuperare i documenti in stampa entro le 9 per la riunione,urgente
Prenotare le vacanze di agosto in Sardegna,personale
Iscriversi al corso di yoga del lunedì sera,personale
Studiare le reazioni chimiche organiche per il laboratorio,studio
Fare un giro in bici la domenica,personale
Andare a correre almeno tre volte questa settimana,personale
"Mia figlia ha la febbre alta, chiamare il pediatra subito",urgente
Sistemare la cartella condivisa con i file del progetto Delta,lavoro
Sistemare la presentazione con i loghi aggiornati del brand,lavoro
Preparare l'agenda per la riunione di team di lunedì,lavoro
Ricordarmi di confermare la sala per il colloquio di venerdì,lavoro
La macchina ha una gomma a terra e devo partire tra poco,urgente
Sbrigare le pratiche per il passaporto,personale
Riordinare la libreria per autore,personale
Rivedere il codice del progetto Phoenix prima del rilascio,lavoro
Cercare ricette vegetariane facili per la settimana,personale
Inviare il report settimanale al direttore entro le 17,lavoro
Studiare il sistema nervoso per l'esame di fisiologia,studio
"Serve stampare il biglietto del treno, parte tra 40 minuti",urgente
Devo rileggere il documento legale prima di firmarlo,lavoro
"Chiamare il commercialista, la dichiarazione scade oggi a mezzanotte",urgente
Organizzare la cena aziendale di fine anno con il team,lavoro
Fare un ripasso rapido prima dell'interrogazione di storia,studio
Inviare i documenti al commercialista entro le 12 di oggi,urgente
Finalizzare il piano marketing per il lancio del prodotto,lavoro
Fare ordine negli armadietti del bagno,personale
Prenotare il volo per il matrimonio di settembre,personale
Fare due passi con papà la domenica pomeriggio,personale
"Pulire i vetri delle finestre, sono da rifare",personale
Devo organizzare la formazione sulla sicurezza per il nuovo staff,lavoro
Comprare il latte e le uova al supermercato,personale
Chiamare l'IT per il problema con la stampante di reparto,lavoro
Ripassare la storia dell'arte rinascimentale,studio
"Serve sostituire il fusibile, siamo rimasti senza luce",urgente
Guardare quel documentario che mi ha consigliato Marco,personale
Aggiornare il piano dei costi del progetto entro mercoledì,lavoro
Pagare la multa entro oggi per evitare il raddoppio,urgente
Riordinare la scrivania in camera,personale
Aggiornare il file Excel con i dati di vendita di ottobre,lavoro
Chiedere un chiarimento al cliente sui requisiti del progetto,lavoro
Portare urgentemente il cane a fare la puntura antidolorifica,urgente
Fare un ripasso generale prima dell'esame di domani,studio
Recuperare la lezione persa di biologia molecolare,studio
Devo consegnare le chiavi al nuovo inquilino entro oggi pomeriggio,urgente
Fare le pulizie di primavera in tutta la casa,personale
Studiare bene prima dell'appello di settembre,studio
Rispondere alle email arretrate prima di pranzo,lavoro
Finire il modulo di onboarding per il nuovo collega,lavoro
Confermare entro stasera la presenza al matrimonio di domani,urgente
Scaricare le dispense del corso di economia politica,studio
"Sistemare la bici, la ruota fa uno strano rumore",personale
